id,joke_id,visitor_id,no_punchline,created_at
1,1,c4d96054-607a-4773-9d1c-875337fd72bc,0,2024-11-25 17:42:16.917775
2,2,c4d96054-607a-4773-9d1c-875337fd72bc,1,2024-11-25 17:42:24.990655
3,3,c4d96054-607a-4773-9d1c-875337fd72bc,0,2024-11-25 17:42:32.406727
4,1,10619dd6-1972-4654-b968-19fbb6fbee61,1,2024-11-25 17:44:59.586139
5,4,02ab3467-9eeb-4222-b1a6-5827efc4426b,1,2024-11-25 19:36:20.933155
6,5,02ab3467-9eeb-4222-b1a6-5827efc4426b,1,2024-11-25 19:38:47.683206
7,6,7aae6726-f267-4185-8ace-0be1d1192781,0,2024-11-26 01:29:16.467569
8,7,7aae6726-f267-4185-8ace-0be1d1192781,0,2024-11-26 01:31:46.676014
9,8,7aae6726-f267-4185-8ace-0be1d1192781,0,2024-11-26 01:32:59.240446
10,9,7aae6726-f267-4185-8ace-0be1d1192781,0,2024-11-26 01:34:44.444253
11,10,7aae6726-f267-4185-8ace-0be1d1192781,0,2024-11-26 01:37:53.307570
12,11,7aae6726-f267-4185-8ace-0be1d1192781,1,2024-11-26 01:40:50.344524
13,12,7aae6726-f267-4185-8ace-0be1d1192781,0,2024-11-26 01:41:51.902269
14,13,7aae6726-f267-4185-8ace-0be1d1192781,0,2024-11-26 01:42:53.816177
15,14,7aae6726-f267-4185-8ace-0be1d1192781,0,2024-11-26 01:44:11.028564
16,15,7aae6726-f267-4185-8ace-0be1d1192781,0,2024-11-26 01:45:36.261333
17,16,7aae6726-f267-4185-8ace-0be1d1192781,0,2024-11-26 01:46:00.025369
18,17,7aae6726-f267-4185-8ace-0be1d1192781,0,2024-11-26 01:46:57.285124
19,18,7aae6726-f267-4185-8ace-0be1d1192781,0,2024-11-26 01:48:49.512763
20,19,7aae6726-f267-4185-8ace-0be1d1192781,1,2024-11-26 01:51:57.272668
21,20,d0ab3665-3b7d-4dd2-b68b-30397b4ef03a,1,2024-11-26 02:17:44.180680
22,21,d0ab3665-3b7d-4dd2-b68b-30397b4ef03a,0,2024-11-26 02:18:30.891779
23,22,d0ab3665-3b7d-4dd2-b68b-30397b4ef03a,0,2024-11-26 02:18:42.363397
24,23,d0ab3665-3b7d-4dd2-b68b-30397b4ef03a,1,2024-11-26 02:19:11.731562
25,24,d0ab3665-3b7d-4dd2-b68b-30397b4ef03a,1,2024-11-26 02:19:25.170982
26,25,d0ab3665-3b7d-4dd2-b68b-30397b4ef03a,1,2024-11-26 02:19:44.965094
27,26,d0ab3665-3b7d-4dd2-b68b-30397b4ef03a,1,2024-11-26 02:19:57.655252
28,27,d0ab3665-3b7d-4dd2-b68b-30397b4ef03a,1,2024-11-26 02:20:06.779642
29,28,7b4f4cc0-1d44-4076-a622-bc59375fbf3d,1,2024-11-26 03:49:15.350498
30,29,7b4f4cc0-1d44-4076-a622-bc59375fbf3d,0,2024-11-26 03:49:27.088498
31,30,7b4f4cc0-1d44-4076-a622-bc59375fbf3d,0,2024-11-26 03:49:59.300406
32,31,7b4f4cc0-1d44-4076-a622-bc59375fbf3d,0,2024-11-26 03:50:12.662035
33,32,7b4f4cc0-1d44-4076-a622-bc59375fbf3d,1,2024-11-26 03:50:36.474289
34,33,7b4f4cc0-1d44-4076-a622-bc59375fbf3d,0,2024-11-26 03:51:03.984485
35,34,7b4f4cc0-1d44-4076-a622-bc59375fbf3d,0,2024-11-26 03:51:19.976468
